,Issuer Name,Insured Bonds,State Code,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,USPS,NAME,INTPTLAT,INTPTLONG                                                                                                               
652,Borough of Pemberton NJ,Y,NJ,7.987334912,54.87849863,11/7/2017,3,11/1/2031,70000,2.85,54.87849863,,AA-,26,Burlington,NJ,Burlington,39.875786,-74.663006
653,Borough of Pemberton NJ,Y,NJ,8.717993713,54.26641096,11/7/2017,3,11/1/2032,70000,2.9,54.26641096,,AA-,24,Burlington,NJ,Burlington,39.875786,-74.663006
654,Township of Peninsula MI,N,MI,0.654367923,35.85026774,5/23/2017,2,4/1/2023,55000,1.9,35.85026774,,,88,Grand Traverse,MI,Grand Traverse,44.718688,-85.553848
655,Township of Peninsula MI,N,MI,1.605677748,39.63924976,5/23/2017,3,4/1/2024,45000,2.1,39.63924976,,,84,Grand Traverse,MI,Grand Traverse,44.718688,-85.553848
656,Township of Peninsula MI,N,MI,2.53178672,43.45572221,5/23/2017,3,4/1/2025,45000,2.3,43.45572221,,,73,Grand Traverse,MI,Grand Traverse,44.718688,-85.553848
657,Township of Peninsula MI,N,MI,3.430947823,43.71977323,5/23/2017,3,4/1/2026,40000,2.45,43.71977323,,,63,Grand Traverse,MI,Grand Traverse,44.718688,-85.553848
658,Township of Peninsula MI,N,MI,4.303263157,46.75147841,5/23/2017,3,4/1/2027,35000,2.6,46.75147841,,,54,Grand Traverse,MI,Grand Traverse,44.718688,-85.553848
659,Champions Municipal Utility District,Y,TX,0.568948748,36.09809202,3/1/2017,3,3/1/2023,125000,2.1,36.09809202,,A+,98,Harris,TX,Harris,29.857273,-95.393037
660,Champions Municipal Utility District,Y,TX,1.521719567,35.58720562,3/1/2017,3,3/1/2024,130000,2.25,35.58720562,,A+,86,Harris,TX,Harris,29.857273,-95.393037
661,City of Chandler AZ Excise Tax Revenue,N,AZ,1.829838304,1.008372603,12/19/2017,5,7/1/2024,1245000,1.84,1.008372603,,AA+,86,Maricopa,AZ,Maricopa,33.345176,-112.49893
662,City of Chandler AZ Excise Tax Revenue,N,AZ,2.722767085,-1.696435616,12/19/2017,5,7/1/2025,1305000,1.9,-1.696435616,400000,AA+,80,Maricopa,AZ,Maricopa,33.345176,-112.49893
663,City of Chandler AZ Excise Tax Revenue,N,AZ,3.577959608,-3.215210959,12/19/2017,5,7/1/2026,1300000,1.97,-3.215210959,,AA+,77,Maricopa,AZ,Maricopa,33.345176,-112.49893
664,City of Chandler AZ Excise Tax Revenue,N,AZ,4.392337111,-2.068947945,12/19/2017,5,7/1/2027,4045000,2.05,-2.068947945,20000,AA+,74,Maricopa,AZ,Maricopa,33.345176,-112.49893
665,City of Chandler TX,Y,TX,0.202292343,47.03189836,3/15/2017,3,10/15/2022,65000,2.3,47.03189836,,,92,Henderson,TX,Henderson,32.211633,-95.853418
666,City of Chandler TX,Y,TX,1.170357145,60.43674301,3/15/2017,3,10/15/2023,65000,2.6,60.43674301,,,74,Henderson,TX,Henderson,32.211633,-95.853418
667,Town of Bedford MA,N,MA,0.52630883,-1.381261822,2/23/2017,3,2/15/2023,380000,1.75,-1.381261822,,,96,Middlesex,MA,Middlesex,42.481718,-71.394916
668,Town of Bedford MA,N,MA,1.481937632,-1.627017825,2/23/2017,3,2/15/2024,380000,1.9,-1.627017825,,,86,Middlesex,MA,Middlesex,42.481718,-71.394916
669,Town of Bedford MA,N,MA,2.410182607,-6.540233017,2/23/2017,3,2/15/2025,380000,2,-6.540233017,,,76,Middlesex,MA,Middlesex,42.481718,-71.394916
670,Town of Bedford MA,N,MA,3.312604929,-12.69045862,2/23/2017,3,2/15/2026,380000,2.07,-12.69045862,,,65,Middlesex,MA,Middlesex,42.481718,-71.394916
671,Town of Bedford MA,N,MA,4.234564498,-4.020864852,2/23/2017,2.5,2/15/2027,380000,2.26,-4.020864852,,,47,Middlesex,MA,Middlesex,42.481718,-71.394916
672,City of Bellaire TX,N,TX,0.521481273,20.58276186,2/1/2017,5,2/15/2023,980000,2.05,20.58276186,,,85,Harris,TX,Harris,29.857273,-95.393037
673,City of Bellaire TX,N,TX,1.455516671,26.98376594,2/1/2017,5,2/15/2024,1030000,2.25,26.98376594,15000,,71,Harris,TX,Harris,29.857273,-95.393037
674,City of Bellaire TX,N,TX,2.348401516,25.60534453,2/1/2017,5,2/15/2025,1085000,2.37,25.60534453,100000,,59,Harris,TX,Harris,29.857273,-95.393037
675,City of Bellaire TX,N,TX,3.203937657,26.76376731,2/1/2017,5,2/15/2026,1140000,2.5,26.76376731,,,49,Harris,TX,Harris,29.857273,-95.393037
676,City of Bellaire TX,N,TX,0.523770641,10.4047752,9/1/2017,4,2/15/2023,370000,1.35,10.4047752,700000,,82,Harris,TX,Harris,29.857273,-95.393037
677,City of Bellaire TX,N,TX,1.468250572,10.63182751,9/1/2017,4,2/15/2024,385000,1.5,10.63182751,,,65,Harris,TX,Harris,29.857273,-95.393037
678,City of Bellaire TX,N,TX,2.37803503,10.54950046,9/1/2017,4,2/15/2025,405000,1.65,10.54950046,,,52,Harris,TX,Harris,29.857273,-95.393037
679,City of Bellaire TX,N,TX,3.255562929,11.19264308,9/1/2017,4,2/15/2026,420000,1.8,11.19264308,,,41,Harris,TX,Harris,29.857273,-95.393037
680,City of Cedar Rapids IA Water Revenue,N,IA,0.81263921,17.02235465,6/15/2017,5,6/1/2023,675000,1.72,17.02235465,100000,,94,Linn,IA,Linn,42.077951,-91.597674
681,City of Cedar Rapids IA Water Revenue,N,IA,1.745271405,16.73279471,6/15/2017,5,6/1/2024,715000,1.88,16.73279471,,,88,Linn,IA,Linn,42.077951,-91.597674
682,City of Cedar Rapids IA Water Revenue,N,IA,2.636781271,24.62854965,6/15/2017,5,6/1/2025,755000,2.12,24.62854965,100000,,80,Linn,IA,Linn,42.077951,-91.597674
683,Belmont Fresh Water Supply District No 1,Y,TX,2.415713707,63.33123551,9/1/2017,4,3/1/2025,185000,2.15,63.33123551,,A+,63,Dallas,TX,Dallas,32.766987,-96.778424
684,Antelope Valley-East Kern Water Agency Financing Authority,N,CA,1.755365803,96.31381537,1/26/2017,3.176,6/1/2024,695000,3.176,96.31381537,,AA-,71,#N/A Field Not Applicable,CA,Kern County,35.346629,-118.729506
685,Antelope Valley-East Kern Water Agency Financing Authority,N,CA,2.666520418,103.7956558,1/26/2017,3.316,6/1/2025,715000,3.316,103.7956558,,AA-,60,#N/A Field Not Applicable,CA,Kern County,35.346629,-118.729506
686,State of Arkansas,N,AR,3.674765723,44.99331057,6/8/2017,2.65,7/1/2026,2160000,2.65,44.99331057,,AA,59,Pulaski,AR,Pulaski,34.770311,-92.312996
687,County of Berrien MI,N,MI,0.571832837,39.54484014,5/1/2017,2,3/1/2023,175000,1.9,39.54484014,,,90,Berrien,MI,Berrien,41.791382,-86.742543
688,County of Berrien MI,N,MI,1.537024506,33.17850256,5/1/2017,2,3/1/2024,180000,2,33.17850256,,,78,Berrien,MI,Berrien,41.791382,-86.742543
689,County of Berrien MI,N,MI,2.465767785,26.86223483,5/1/2017,2.5,3/1/2025,185000,2.1,26.86223483,,,71,Berrien,MI,Berrien,41.791382,-86.742543
690,County of Berrien MI,N,MI,3.378091506,21.84172226,5/1/2017,2.5,3/1/2026,190000,2.2,21.84172226,,,59,Berrien,MI,Berrien,41.791382,-86.742543
691,County of Berrien MI,N,MI,4.266714585,29.46438161,5/1/2017,2.5,3/1/2027,195000,2.4,29.46438161,,,50,Berrien,MI,Berrien,41.791382,-86.742543
692,City of Bloomington IN Waterworks Revenue,Y,IN,0.90206086,35.21307893,7/25/2017,2,7/1/2023,95000,1.85,35.21307893,,,83,Monroe,IN,Monroe,39.160729,-86.52331
693,City of Bloomington IN Waterworks Revenue,Y,IN,1.86726143,35.47281477,7/25/2017,2,7/1/2024,95000,2,35.47281477,,,68,Monroe,IN,Monroe,39.160729,-86.52331
694,City of Bloomington IN Waterworks Revenue,Y,IN,3.232364908,38.75646678,7/25/2017,3,1/1/2026,100000,2.25,38.75646678,,,57,Monroe,IN,Monroe,39.160729,-86.52331
695,City of Brigantine NJ,N,NJ,0.202383134,12.98987671,10/31/2017,4,10/15/2022,680000,1.51,12.98987671,100000,,98,Atlantic,NJ,Atlantic,39.469355,-74.633759
696,City of Brigantine NJ,N,NJ,2.134565281,17.89453425,10/31/2017,2,10/15/2024,740000,1.83,17.89453425,100000,,72,Atlantic,NJ,Atlantic,39.469355,-74.633759
697,City of Brenham TX,N,TX,0.036095713,15.7419726,12/21/2017,4,8/15/2022,155000,1.75,15.7419726,,,99,Washington,TX,Washington,30.215075,-96.410272
698,Belmont Fresh Water Supply District No 1,Y,TX,1.508810724,63.70194677,9/1/2017,4,3/1/2024,175000,2,63.70194677,,A+,73,Dallas,TX,Dallas,32.766987,-96.778424
699,Antelope Valley-East Kern Water Agency Financing Authority,N,CA,0.810280111,87.81808734,1/26/2017,2.976,6/1/2023,675000,2.976,87.81808734,,AA-,84,#N/A Field Not Applicable,CA,Kern County,35.346629,-118.729506
700,Antelope Valley-East Kern Water Agency Financing Authority,N,CA,3.540456358,112.2774962,1/26/2017,3.466,6/1/2026,740000,3.466,112.2774962,10000,AA-,52,#N/A Field Not Applicable,CA,Kern County,35.346629,-118.729506
701,Town of Braintree MA,N,MA,1.715992747,-0.571567791,5/25/2017,4,5/15/2024,435000,1.65,-0.571567791,60000,,87,Norfolk,MA,Norfolk,42.171738,-71.18111
702,Town of Braintree MA,N,MA,3.50357551,3.582043409,5/25/2017,4,5/15/2026,425000,2,3.582043409,20000,,69,Norfolk,MA,Norfolk,42.171738,-71.18111
703,Brazoria County Municipal Utility District No 34,Y,TX,1.055993941,37.1181863,12/1/2017,2,9/1/2023,240000,1.9,37.1181863,,AA-,87,Harris,TX,Harris,29.857273,-95.393037
704,Brazoria County Municipal Utility District No 34,Y,TX,2.01054198,36.84772603,12/1/2017,2,9/1/2024,245000,2,36.84772603,,AA-,75,Harris,TX,Harris,29.857273,-95.393037
705,Brazoria County Municipal Utility District No 29,Y,TX,1.537425757,63.70194677,9/1/2017,2,3/1/2024,225000,2,63.70194677,160000,A+,76,Brazoria,TX,Brazoria,29.167817,-95.434647
706,Brazoria County Municipal Utility District No 39,N,TX,1.047748287,103.6606146,8/1/2017,3,9/1/2023,60000,2.4,103.6606146,,,80,Brazoria,TX,Brazoria,29.167817,-95.434647
707,Brazoria County Municipal Utility District No 39,N,TX,2.894837211,114.9017367,8/1/2017,3,9/1/2025,65000,2.8,114.9017367,,,50,Brazoria,TX,Brazoria,29.167817,-95.434647
708,Brazoria County Municipal Utility District No 55,N,TX,1.993392943,114.3046767,9/1/2017,2.65,9/1/2024,160000,2.6,114.3046767,,,48,Harris,TX,Harris,29.857273,-95.393037
709,City of Bloomington IN Waterworks Revenue,Y,IN,0.412002508,37.36525581,7/25/2017,2,1/1/2023,95000,1.8,37.36525581,,,95,Monroe,IN,Monroe,39.160729,-86.52331
710,City of Bloomington IN Waterworks Revenue,Y,IN,1.387265924,37.80655399,7/25/2017,2,1/1/2024,95000,1.95,37.80655399,,,76,Monroe,IN,Monroe,39.160729,-86.52331
711,City of Bloomington IN Waterworks Revenue,Y,IN,2.77957719,35.60338174,7/25/2017,3,7/1/2025,100000,2.15,35.60338174,,,61,Monroe,IN,Monroe,39.160729,-86.52331
712,City of Brigantine NJ,N,NJ,1.164848853,17.65346575,10/31/2017,4,10/15/2023,690000,1.69,17.65346575,,,89,Atlantic,NJ,Atlantic,39.469355,-74.633759
713,City of Brigantine NJ,N,NJ,3.071397013,21.13656164,10/31/2017,2,10/15/2025,780000,2,21.13656164,,,63,Atlantic,NJ,Atlantic,39.469355,-74.633759
714,Brazoria County Municipal Utility District No 39,N,TX,0.080459471,97.76283201,8/1/2017,3,9/1/2022,60000,2.2,97.76283201,,,97,Brazoria,TX,Brazoria,29.167817,-95.434647
715,Brazoria County Municipal Utility District No 55,N,TX,1.051699714,109.4718797,9/1/2017,2.45,9/1/2023,155000,2.4,109.4718797,,,64,Harris,TX,Harris,29.857273,-95.393037
716,Brazoria-Fort Bend County Municipal Utility District No 1,N,TX,0.080491541,40.99486143,6/1/2017,2,9/1/2022,2500000,1.85,40.99486143,75000,,98,Brazoria,TX,Brazoria,29.167817,-95.434647
717,City of Biloxi MS,N,MS,2.452161515,34.20417951,3/1/2017,3,3/1/2025,460000,2.4,34.20417951,,,70,Harrison,MS,Harrison,30.416536,-89.083376
718,City of Brenham TX,N,TX,0.998564169,15.11927397,12/21/2017,4,8/15/2023,160000,1.8,15.11927397,,,91,Washington,TX,Washington,30.215075,-96.410272
719,City of Brenham TX,N,TX,1.923194769,19.21887397,12/21/2017,4,8/15/2024,170000,1.9,19.21887397,,,85,Washington,TX,Washington,30.215075,-96.410272
720,City of Brenham TX,N,TX,2.814243442,16.89650411,12/21/2017,4,8/15/2025,175000,1.95,16.89650411,10000,,79,Washington,TX,Washington,30.215075,-96.410272
721,City of Brenham TX,N,TX,3.673447259,15.17489589,12/21/2017,4,8/15/2026,180000,2,15.17489589,,,73,Washington,TX,Washington,30.215075,-96.410272
722,Town of Braintree MA,N,MA,0.771813272,0.790619555,5/25/2017,4,5/15/2023,440000,1.5,0.790619555,,,95,Norfolk,MA,Norfolk,42.171738,-71.18111
723,Town of Braintree MA,N,MA,2.625859272,3.197956229,5/25/2017,4,5/15/2025,425000,1.85,3.197956229,,,78,Norfolk,MA,Norfolk,42.171738,-71.18111
724,Town of Braintree MA,N,MA,4.350776912,1.844847807,5/25/2017,4,5/15/2027,420000,2.1,1.844847807,,,59,Norfolk,MA,Norfolk,42.171738,-71.18111
725,Brazoria County Municipal Utility District No 22,Y,TX,0.080456694,52.40759117,5/1/2017,4.75,9/1/2022,150000,1.95,52.40759117,,,95,Brazoria,TX,Brazoria,29.167817,-95.434647
726,Brazoria County Municipal Utility District No 22,Y,TX,1.03573361,55.99257703,5/1/2017,4.75,9/1/2023,155000,2.15,55.99257703,,,87,Brazoria,TX,Brazoria,29.167817,-95.434647
727,Brazoria County Municipal Utility District No 22,Y,TX,2.001913889,59.7398287,5/1/2017,2.25,9/1/2024,160000,2.35,59.7398287,,,68,Brazoria,TX,Brazoria,29.167817,-95.434647
728,Brazoria County Municipal Utility District No 22,Y,TX,2.917822105,74.34434097,5/1/2017,2.5,9/1/2025,170000,2.65,74.34434097,,,56,Brazoria,TX,Brazoria,29.167817,-95.434647
729,Brazoria County Municipal Utility District No 31,Y,TX,0.080448042,79.33175007,1/1/2017,3,9/1/2022,125000,2.75,79.33175007,,,99,Brazoria,TX,Brazoria,29.167817,-95.434647
730,Brazoria County Municipal Utility District No 28,Y,TX,0.080490265,52.75575697,7/1/2017,3,9/1/2022,900000,1.82,52.75575697,,AA-,93,Brazoria,TX,Brazoria,29.167817,-95.434647
731,Brazoria County Municipal Utility District No 28,Y,TX,1.990334202,57.47422821,7/1/2017,3,9/1/2024,950000,2.15,57.47422821,200000,AA-,81,Brazoria,TX,Brazoria,29.167817,-95.434647
732,Brazoria County Municipal Utility District No 34,Y,TX,0.080474273,33.06300274,12/1/2017,2,9/1/2022,250000,1.75,33.06300274,,AA-,98,Harris,TX,Harris,29.857273,-95.393037
733,Brazoria County Municipal Utility District No 29,Y,TX,0.572019885,57.91291126,9/1/2017,2,3/1/2023,215000,1.79,57.91291126,,A+,90,Brazoria,TX,Brazoria,29.167817,-95.434647
734,Brazoria County Municipal Utility District No 39,N,TX,1.985277409,109.2505601,8/1/2017,3,9/1/2024,65000,2.6,109.2505601,,,65,Brazoria,TX,Brazoria,29.167817,-95.434647
735,Brazoria County Municipal Utility District No 55,N,TX,0.080460762,104.2806981,9/1/2017,2.3,9/1/2022,150000,2.2,104.2806981,,,83,Harris,TX,Harris,29.857273,-95.393037
736,Brazoria County Municipal Utility District No 55,N,TX,2.90466941,114.1266278,9/1/2017,2.8,9/1/2025,170000,2.75,114.1266278,,,38,Harris,TX,Harris,29.857273,-95.393037
737,Brazoria-Fort Bend County Municipal Utility District No 1,N,TX,1.057424127,34.77970734,6/1/2017,2,9/1/2023,3200000,1.95,34.77970734,,,77,Brazoria,TX,Brazoria,29.167817,-95.434647
738,City of Biloxi MS,N,MS,0.570059487,21.93588479,3/1/2017,3,3/1/2023,430000,1.97,21.93588479,,,88,Harrison,MS,Harrison,30.416536,-89.083376
739,City of Biloxi MS,N,MS,1.52488644,29.32011616,3/1/2017,3,3/1/2024,445000,2.2,29.32011616,50000,,78,Harrison,MS,Harrison,30.416536,-89.083376
740,City of Buda TX,N,TX,0.03609906,6.581928767,12/6/2017,5,8/15/2022,785000,1.48,6.581928767,,,92,Hays,TX,Hays,30.061225,-98.029267
741,City of Buda TX,N,TX,0.993310577,9.589156164,12/6/2017,5,8/15/2023,830000,1.62,9.589156164,3320000,,90,Hays,TX,Hays,30.061225,-98.029267
742,City of Buda TX,N,TX,1.905631118,10.51643836,12/6/2017,5,8/15/2024,865000,1.74,10.51643836,50000,,83,Hays,TX,Hays,30.061225,-98.029267
743,City of Buda TX,N,TX,3.615003618,15.42210959,12/6/2017,5,8/15/2026,955000,2,15.42210959,,,68,Hays,TX,Hays,30.061225,-98.029267
744,City of Buffalo MN,N,MN,0.65481529,8.460918624,10/12/2017,2,4/1/2023,200000,1.35,8.460918624,,,86,Wright,MN,Wright,45.175091,-93.966396
745,City of Buffalo MN,N,MN,1.620622967,8.788723094,10/12/2017,2,4/1/2024,205000,1.5,8.788723094,,,73,Wright,MN,Wright,45.175091,-93.966396
746,City of Buffalo MN,N,MN,2.567289051,8.928465696,10/12/2017,2,4/1/2025,205000,1.65,8.928465696,,,62,Wright,MN,Wright,45.175091,-93.966396
747,City of Buffalo MN,N,MN,3.494968473,14.93026913,10/12/2017,2,4/1/2026,210000,1.85,14.93026913,,,54,Wright,MN,Wright,45.175091,-93.966396
748,City of Burleson TX,N,TX,0.569868853,19.69524736,8/16/2017,3,3/1/2023,430000,1.59,19.69524736,,AA-,93,Johnson,TX,Johnson,32.379821,-97.364959
749,City of Burleson TX,N,TX,1.51103787,20.14576215,8/16/2017,4,3/1/2024,440000,1.74,20.14576215,150000,AA-,84,Johnson,TX,Johnson,32.379821,-97.364959
750,City of Burleson TX,N,TX,2.413768953,21.38437685,8/16/2017,4,3/1/2025,455000,1.9,21.38437685,20000,AA-,74,Johnson,TX,Johnson,32.379821,-97.364959
751,City of Burleson TX,N,TX,3.295235085,25.38552206,8/16/2017,4,3/1/2026,480000,2.08,25.38552206,,AA-,65,Johnson,TX,Johnson,32.379821,-97.364959
752,City of Burleson TX,N,TX,4.139675307,33.66188907,8/16/2017,4,3/1/2027,500000,2.28,33.66188907,,AA-,57,Johnson,TX,Johnson,32.379821,-97.364959
753,City of Burlington VT Waterworks System Revenue,N,VT,0.246721988,38.92783297,6/6/2017,4,11/1/2022,130000,1.7,38.92783297,,,94,Chittenden,VT,Chittenden,44.463329,-73.06941
754,City of Burlington VT Waterworks System Revenue,N,VT,1.209817688,41.9582663,6/6/2017,4,11/1/2023,135000,1.89,41.9582663,85000,,78,Chittenden,VT,Chittenden,44.463329,-73.06941
755,City of Burlington VT Waterworks System Revenue,N,VT,2.98966383,44.71135936,6/6/2017,5,11/1/2025,150000,2.23,44.71135936,,,69,Chittenden,VT,Chittenden,44.463329,-73.06941
756,City of Burlington VT Waterworks System Revenue,N,VT,3.826966963,46.64831462,6/6/2017,5,11/1/2026,155000,2.38,46.64831462,,,63,Chittenden,VT,Chittenden,44.463329,-73.06941
757,City of Andover KS,N,KS,0.163594899,34.5259726,12/14/2017,2,10/1/2022,145000,2,34.5259726,,,94,Butler,KS,Butler,37.773649,-96.83884
758,City of Andover KS,N,KS,1.139004458,29.04431507,12/14/2017,2.05,10/1/2023,150000,2.05,29.04431507,,,76,Butler,KS,Butler,37.773649,-96.83884
759,City of Charlottesville VA,N,VA,0.36815221,0.089794261,6/29/2017,5,12/15/2022,700000,1.28,0.089794261,,AAA,95,Charlottesville,VA,Charlottesville,38.037658,-78.485381
760,City of Charlottesville VA,N,VA,1.324147537,-4.191969188,6/29/2017,5,12/15/2023,695000,1.38,-4.191969188,75000,AAA,89,Charlottesville,VA,Charlottesville,38.037658,-78.485381
761,City of Charlottesville VA,N,VA,2.237401276,-6.748785552,6/29/2017,5,12/15/2024,695000,1.5,-6.748785552,,AAA,86,Charlottesville,VA,Charlottesville,38.037658,-78.485381
762,City of Charlottesville VA,N,VA,3.951195778,-4.806026246,6/29/2017,5,12/15/2026,690000,1.78,-4.806026246,,AAA,69,Charlottesville,VA,Charlottesville,38.037658,-78.485381
763,City of Charlottesville VA,N,VA,4.756713813,-5.941476778,6/29/2017,5,12/15/2027,685000,1.88,-5.941476778,,AAA,61,Charlottesville,VA,Charlottesville,38.037658,-78.485381
764,City of Chaska MN,N,MN,0.494824588,3.759487671,11/29/2017,5,2/1/2023,430000,1.52,3.759487671,,,96,Carver,MN,Carver,44.82132,-93.800091
765,City of Chaska MN,N,MN,1.450767564,5.00100274,11/29/2017,5,2/1/2024,715000,1.65,5.00100274,90000,,87,Carver,MN,Carver,44.82132,-93.800091
766,City of Chaska MN,N,MN,2.363291982,5.901347945,11/29/2017,5,2/1/2025,750000,1.78,5.901347945,,,80,Carver,MN,Carver,44.82132,-93.800091
767,City of Chaska MN,N,MN,3.236580026,6.202271233,11/29/2017,5,2/1/2026,795000,1.9,6.202271233,70000,,73,Carver,MN,Carver,44.82132,-93.800091
768,City of Chaska MN,N,MN,4.073413344,8.373863014,11/29/2017,5,2/1/2027,830000,2.02,8.373863014,,,66,Carver,MN,Carver,44.82132,-93.800091
769,Borough of Chatham NJ,N,NJ,0.655390684,11.32592743,4/1/2017,2,4/1/2023,615000,1.8,11.32592743,30000,,95,Morris,NJ,Morris,40.858896,-74.547292
770,Borough of Chatham NJ,N,NJ,1.622005679,4.662247779,4/1/2017,2,4/1/2024,540000,1.9,4.662247779,,,85,Morris,NJ,Morris,40.858896,-74.547292
771,Borough of Chatham NJ,N,NJ,2.569563382,-1.551090387,4/1/2017,2,4/1/2025,555000,2,-1.551090387,,,75,Morris,NJ,Morris,40.858896,-74.547292
772,Borough of Chatham NJ,N,NJ,3.490864793,-3.326550858,4/1/2017,2.125,4/1/2026,580000,2.125,-3.326550858,,,67,Morris,NJ,Morris,40.858896,-74.547292
773,Borough of Chatham NJ,N,NJ,4.384699476,-2.042970869,4/1/2017,2.25,4/1/2027,610000,2.25,-2.042970869,,,60,Morris,NJ,Morris,40.858896,-74.547292
774,Borough of Chatham NJ,N,NJ,5.264865977,-9.117837738,4/1/2017,2.25,4/1/2028,625000,2.3,-9.117837738,,,44,Morris,NJ,Morris,40.858896,-74.547292
775,Borough of Chatham NJ,N,NJ,5.991861272,-9.579663659,4/1/2017,3,4/1/2029,640000,2.4,-9.579663659,,,51,Morris,NJ,Morris,40.858896,-74.547292
776,City of Chenoa IL,N,IL,0.328670746,130.2793431,1/26/2017,4.25,12/1/2022,65000,3,130.2793431,,,98,McLean,IL,McLean,40.494559,-88.844539
777,City of Chenoa IL,N,IL,1.284922595,132.2853633,1/26/2017,4.25,12/1/2023,70000,3.15,132.2853633,,,85,McLean,IL,McLean,40.494559,-88.844539
778,City of Brookfield WI,N,WI,0.329336555,7.617733693,6/5/2017,2,12/1/2022,325000,1.4,7.617733693,,,96,Waukesha,WI,Waukesha,43.018368,-88.30424
779,City of Brookfield WI,N,WI,1.304581674,6.642674559,6/5/2017,2,12/1/2023,325000,1.55,6.642674559,,,81,Waukesha,WI,Waukesha,43.018368,-88.30424
780,City of Brookfield WI,N,WI,2.260321011,5.626253844,6/5/2017,2,12/1/2024,325000,1.7,5.626253844,75000,,70,Waukesha,WI,Waukesha,43.018368,-88.30424
781,City of Brookfield WI,N,WI,4.11447181,7.703373153,6/5/2017,2,12/1/2026,345000,2,7.703373153,,,51,Waukesha,WI,Waukesha,43.018368,-88.30424
782,City of Brookfield WI,N,WI,4.899964948,5.911165366,6/5/2017,3,12/1/2027,350000,2.1,5.911165366,,,57,Waukesha,WI,Waukesha,43.018368,-88.30424
783,City of Brooklyn Center MN,N,MN,0.49458319,8.42615877,6/8/2017,3,2/1/2023,820000,1.6,8.42615877,,,90,Hennepin,MN,Hennepin,45.006121,-93.475228
784,City of Brooklyn Center MN,N,MN,1.46332984,12.15992154,6/8/2017,3,2/1/2024,845000,1.8,12.15992154,,,78,Hennepin,MN,Hennepin,45.006121,-93.475228
785,City of Brooklyn Center MN,N,MN,2.403642286,15.84707538,6/8/2017,3,2/1/2025,870000,2,15.84707538,,,67,Hennepin,MN,Hennepin,45.006121,-93.475228
786,City of Brooklyn Center MN,N,MN,3.317161017,10.76586277,6/8/2017,3,2/1/2026,890000,2.1,10.76586277,,,57,Hennepin,MN,Hennepin,45.006121,-93.475228
787,City of Carver MN,N,MN,0.49458319,26.79231452,8/17/2017,3,2/1/2023,145000,1.65,26.79231452,,,92,Carver,MN,Carver,44.82132,-93.800091
788,City of Carver MN,N,MN,1.46332984,22.30816655,8/17/2017,3,2/1/2024,150000,1.75,22.30816655,,,81,Carver,MN,Carver,44.82132,-93.800091
789,City of Carver MN,N,MN,2.403642286,22.52252353,8/17/2017,3,2/1/2025,155000,1.9,22.52252353,,,71,Carver,MN,Carver,44.82132,-93.800091
790,City of Carver MN,N,MN,3.317161017,18.422567,8/17/2017,3,2/1/2026,160000,2,18.422567,,,61,Carver,MN,Carver,44.82132,-93.800091
791,City of Carver MN,N,MN,4.204498864,16.48229746,8/17/2017,3,2/1/2027,160000,2.1,16.48229746,,,53,Carver,MN,Carver,44.82132,-93.800091
792,Town of Cary NC Combined Utility Systems Revenue,N,NC,0.329718919,3.913939849,3/16/2017,5,12/1/2022,900000,1.71,3.913939849,25000,AAA,96,Wake,NC,Wake,35.789846,-78.650624
793,Town of Cary NC Combined Utility Systems Revenue,N,NC,1.286417994,10.76191552,3/16/2017,5,12/1/2023,945000,1.94,10.76191552,50000,AAA,91,Wake,NC,Wake,35.789846,-78.650624
794,Town of Cary NC Combined Utility Systems Revenue,N,NC,3.074075931,14.70097169,3/16/2017,5,12/1/2025,1045000,2.28,14.70097169,45000,AAA,74,Wake,NC,Wake,35.789846,-78.650624
795,Town of Cary NC Combined Utility Systems Revenue,N,NC,3.912534299,13.2058597,3/16/2017,5,12/1/2026,1100000,2.38,13.2058597,20000,AAA,68,Wake,NC,Wake,35.789846,-78.650624
796,City of Baltimore MD,N,MD,0.894494129,26.37606508,2/9/2017,5,7/1/2023,3225000,2.2,26.37606508,70000,A+,88,Baltimore City,MD,Baltimore city,39.300032,-76.610476
797,City of Baltimore MD,N,MD,1.826435581,31.12379691,2/9/2017,5,7/1/2024,3385000,2.39,31.12379691,100000,A+,80,Baltimore City,MD,Baltimore city,39.300032,-76.610476
798,City of Batavia NY,Y,NY,0.736772189,14.64448791,5/11/2017,2.125,5/1/2023,195000,1.7,14.64448791,,AA-,86,Genesee,NY,Genesee,43.00091,-78.192778
799,City of Batavia NY,Y,NY,1.698758762,15.48021217,5/11/2017,2.25,5/1/2024,195000,1.87,15.48021217,,AA-,74,Genesee,NY,Genesee,43.00091,-78.192778
800,City of Batavia NY,Y,NY,2.639495331,12.41875968,5/11/2017,2.25,5/1/2025,200000,2,12.41875968,,AA-,63,Genesee,NY,Genesee,43.00091,-78.192778
801,City of Batavia NY,Y,NY,0.163603241,13.01083562,10/10/2017,2.5,10/1/2022,60000,1.4,13.01083562,,AA-,99,Genesee,NY,Genesee,43.00091,-78.192778
802,City of Batavia NY,Y,NY,1.13602892,14.3334137,10/10/2017,2.5,10/1/2023,60000,1.55,14.3334137,,AA-,83,Genesee,NY,Genesee,43.00091,-78.192778
