,Issuer Name,Insured Bonds,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,State
599,Valley Ranch Municipal Utility District No 1,Y,1.0340938968823667,57.0853366672613,5/1/2017,5.0,9/1/2023,95000,2.15,57.0853366672613,,AA-,88,Montgomery, TX
600,Padre Dam Municipal Water District,N,2.02942326796768,1.7692823799361213,6/15/2017,5.0,10/1/2024,1775000,1.56,1.7692823799361213,15000.0,AA+,62,San Diego, CA
601,Padre Dam Municipal Water District,N,2.9071727540724615,3.494795430927966,6/15/2017,5.0,10/1/2025,1870000,1.73,3.494795430927966,90000.0,AA+,59,San Diego, CA
602,Padre Dam Municipal Water District,N,4.552925548702263,22.356656273243768,6/15/2017,5.0,10/1/2027,2065000,2.17,22.356656273243768,,AA+,59,San Diego, CA
603,Palmera Ridge Municipal Utility District,N,0.03609110472596602,123.82196200459177,1/1/2017,3.0,8/15/2022,60000,3.0,123.82196200459177,,,99,Williamson, TX
604,Palmera Ridge Municipal Utility District,N,1.9343197232359743,128.08168131713677,1/1/2017,3.3,8/15/2024,65000,3.3000000000000003,128.08168131713677,,,71,Williamson, TX
605,Palmera Ridge Municipal Utility District,N,1.0035358550135671,101.39000547945204,10/26/2017,3.0,8/15/2023,80000,2.4000000000000004,101.39000547945204,,,84,Williamson, TX
606,Palmera Ridge Municipal Utility District,N,1.9408977518962571,107.20146301369864,10/26/2017,3.0,8/15/2024,85000,2.6,107.20146301369864,,,69,Williamson, TX
607,City of Savage MN,N,1.4631804601865444,22.279087257068774,7/12/2017,3.0,2/1/2024,310000,1.6500000000000001,22.279087257068774,,,74,Scott, MN
608,City of Savage MN,N,3.317537993992282,18.832691137232494,7/12/2017,3.0,2/1/2026,320000,1.9000000000000001,18.832691137232494,20000.0,,54,Scott, MN
609,Borough of Sayreville NJ,N,0.11930756953710998,19.533512182924937,9/27/2017,2.0,9/15/2022,750000,1.3,19.533512182924937,,,94,Middlesex, NJ
610,Borough of Sayreville NJ,N,2.0520698690786565,20.188689043214314,9/27/2017,2.0,9/15/2024,750000,1.6,20.188689043214314,,,61,Middlesex, NJ
611,Parkside at Mayfield Ranch Municipal District,Y,1.0513492303242422,33.03894097425599,5/11/2017,2.5,9/1/2023,70000,2.0,33.03894097425599,,,65,Williamson, TX
612,Scottsdale Municipal Property Corp,N,2.720137957426485,11.423242891068286,5/24/2017,5.0,7/1/2025,1740000,2.0,11.423242891068286,50000.0,AA+,76,Maricopa, AZ
613,Palmera Ridge Municipal Utility District,N,1.00250162034823,125.93114896207472,1/1/2017,3.15,8/15/2023,65000,3.15,125.93114896207472,,,84,Williamson, TX
614,Palmera Ridge Municipal Utility District,N,0.03609110472596602,95.12501369863016,10/26/2017,3.0,8/15/2022,75000,2.2,95.12501369863016,,,99,Williamson, TX
615,City of Savage MN,N,2.403636539030304,17.69344605826928,7/12/2017,3.0,2/1/2025,315000,1.75,17.69344605826928,,,64,Scott, MN
616,Borough of Sayreville NJ,N,1.096093060034166,20.080449603840258,9/27/2017,2.0,9/15/2023,750000,1.45,20.080449603840258,,,72,Middlesex, NJ
617,Borough of Sayreville NJ,N,2.9889763768249518,25.250926084237424,9/27/2017,2.0,9/15/2025,750000,1.8,25.250926084237424,,,48,Middlesex, NJ
618,Parkside at Mayfield Ranch Municipal District,Y,0.08046076741843064,34.917286884838596,5/11/2017,2.5,9/1/2022,65000,1.85,34.917286884838596,,,92,Williamson, TX
619,Parkside at Mayfield Ranch Municipal District,Y,1.9967707745367644,36.405707062074086,5/11/2017,2.5,9/1/2024,70000,2.2,36.405707062074086,,,48,Williamson, TX
620,Utah Water Finance Agency,N,0.5651766268959194,22.138743673863548,7/20/2017,5.0,3/1/2023,3140000,1.53,22.138743673863548,150000.0,AA,90,Salt Lake, UT
621,Valley Ranch Municipal Utility District No 1,Y,0.08045662722514797,58.406840260122905,5/1/2017,5.0,9/1/2022,95000,2.0,58.406840260122905,,AA-,95,Montgomery, TX
622,Valley Ranch Municipal Utility District No 1,Y,1.9428970109302235,50.75401646098292,5/1/2017,5.0,9/1/2024,100000,2.25,50.75401646098292,,AA-,76,Montgomery, TX
623,Scottsdale Municipal Property Corp,N,0.8953059603739485,6.686953806938867,5/24/2017,5.0,7/1/2023,1580000,1.6300000000000001,6.686953806938867,,AA+,88,Maricopa, AZ
624,Scottsdale Municipal Property Corp,N,1.8282472826585545,8.400082687275523,5/24/2017,5.0,7/1/2024,1655000,1.81,8.400082687275523,665000.0,AA+,81,Maricopa, AZ
625,Scottsdale Municipal Property Corp,N,3.5742770109111066,15.199841933811431,5/24/2017,5.0,7/1/2026,1825000,2.18,15.199841933811431,50000.0,AA+,71,Maricopa, AZ
626,Borough of Pitman NJ,N,0.9011380811035935,43.15513118987524,7/12/2017,2.0,7/1/2023,305000,1.8,43.15513118987524,,,84,Gloucester, NJ
627,Borough of Pitman NJ,N,2.8027287305146853,49.07432531094131,7/12/2017,2.25,7/1/2025,315000,2.15,49.07432531094131,45000.0,,69,Gloucester, NJ
628,City of Pflugerville TX,N,0.978310647954501,20.51909315068494,12/1/2017,5.0,8/1/2023,365000,1.81,20.51909315068494,20000.0,AA,89,Travis, TX
629,City of Pflugerville TX,N,0.9829340109667056,20.51909315068494,12/1/2017,3.0,8/1/2023,40000,1.81,20.51909315068494,,AA,81,Travis, TX
630,City of Pflugerville TX,N,2.865403559666654,21.113098630136975,12/1/2017,3.0,8/1/2025,70000,2.0300000000000002,21.113098630136975,,AA,60,Travis, TX
631,City of Pflugerville TX,N,4.5569508109891865,27.89378630136987,12/1/2017,4.0,8/1/2027,65000,2.27,27.89378630136987,,AA,54,Travis, TX
632,City of Dunlap TN,N,0.5626019753171576,67.33291296853625,10/5/2017,4.0,3/1/2023,75000,2.5,67.33291296853625,,AA-,88,Davidson, TN
633,County of Erie OH,N,1.1203103467559414,10.957945205479458,10/11/2017,5.0,10/1/2023,705000,1.52,10.957945205479458,,,84,Erie, OH
634,City of San Francisco CA Public Utilities Commission Water Revenue,N,0.24673932836467258,-6.763986301369851,12/13/2017,5.0,11/1/2022,1355000,1.71,-6.763986301369851,50000.0,AA-,96,San Francisco, CA
635,City of San Francisco CA Public Utilities Commission Water Revenue,N,1.2033886544718126,-6.976958904109587,12/13/2017,5.0,11/1/2023,2445000,1.8,-6.976958904109587,,AA-,90,San Francisco, CA
636,City of San Francisco CA Public Utilities Commission Water Revenue,N,0.24673932836467258,-5.76398630136985,12/13/2017,5.0,11/1/2022,2325000,1.72,-5.76398630136985,10000.0,AA-,97,San Francisco, CA
637,City of San Francisco CA Public Utilities Commission Water Revenue,N,1.2033886544718126,-7.976958904109588,12/13/2017,5.0,11/1/2023,2985000,1.79,-7.976958904109588,150000.0,AA-,90,San Francisco, CA
638,City of San Francisco CA Public Utilities Commission Water Revenue,N,1.2033886544718126,-7.976958904109588,12/13/2017,5.0,11/1/2023,1425000,1.79,-7.976958904109588,,AA-,89,San Francisco, CA
639,City of San Francisco CA Public Utilities Commission Water Revenue,N,2.1163468953311835,-8.81500273972604,12/13/2017,5.0,11/1/2024,3135000,1.8800000000000001,-8.81500273972604,,AA-,82,San Francisco, CA
640,City of San Francisco CA Public Utilities Commission Water Revenue,N,2.1163468953311835,-8.81500273972604,12/13/2017,5.0,11/1/2024,1500000,1.8800000000000001,-8.81500273972604,20000.0,AA-,81,San Francisco, CA
641,San Bruno Public Financing Authority,N,1.8290501740912872,-1.4378136986301193,12/6/2017,5.0,7/1/2024,250000,1.62,-1.4378136986301193,,,67,San Mateo, CA
642,San Bruno Public Financing Authority,N,4.401010590863991,1.730334246575338,12/6/2017,5.0,7/1/2027,290000,1.93,1.730334246575338,45000.0,,62,San Mateo, CA
643,Borough of Pemberton NJ,Y,0.24650776710644462,26.24808493150683,11/7/2017,2.5,11/1/2022,150000,1.6500000000000001,26.24808493150683,,AA-,99,Burlington, NJ
644,Borough of Pemberton NJ,Y,1.2179065068819404,28.872468493150684,11/7/2017,2.5,11/1/2023,150000,1.8,28.872468493150684,,AA-,80,Burlington, NJ
645,Borough of Pemberton NJ,Y,2.164853846338293,36.07971232876712,11/7/2017,2.5,11/1/2024,150000,2.0,36.07971232876712,,AA-,67,Burlington, NJ
646,Borough of Pemberton NJ,Y,3.088443489924134,43.303328767123304,11/7/2017,2.5,11/1/2025,160000,2.2,43.303328767123304,,AA-,55,Burlington, NJ
647,Borough of Pemberton NJ,Y,3.9699438333750217,52.214219178082175,11/7/2017,2.75,11/1/2026,160000,2.4000000000000004,52.214219178082175,,AA-,50,Burlington, NJ
648,Borough of Pemberton NJ,Y,4.811214568206353,53.48357534246575,11/7/2017,3.0,11/1/2027,60000,2.5,53.48357534246575,,AA-,44,Burlington, NJ
649,Borough of Pemberton NJ,Y,5.644255214039049,52.93327671232877,11/7/2017,3.0,11/1/2028,65000,2.6,52.93327671232877,,AA-,38,Burlington, NJ
650,Borough of Pemberton NJ,Y,6.444726701006582,53.8312602739726,11/7/2017,3.0,11/1/2029,65000,2.7,53.8312602739726,50000.0,AA-,33,Burlington, NJ
651,Borough of Pemberton NJ,Y,7.2309086943599405,51.27639999999998,11/7/2017,3.0,11/1/2030,65000,2.75,51.27639999999998,,AA-,29,Burlington, NJ
652,Borough of Pemberton NJ,Y,7.987334912484385,54.87849863013699,11/7/2017,3.0,11/1/2031,70000,2.85,54.87849863013699,,AA-,26,Burlington, NJ
653,Borough of Pemberton NJ,Y,8.717993713264367,54.26641095890412,11/7/2017,3.0,11/1/2032,70000,2.9000000000000004,54.26641095890412,,AA-,24,Burlington, NJ
654,Township of Peninsula MI,N,0.6543679229999982,35.850267741241204,5/23/2017,2.0,4/1/2023,55000,1.9000000000000001,35.850267741241204,,,88,Grand Traverse, MI
655,Township of Peninsula MI,N,1.6056777484273563,39.63924976027664,5/23/2017,3.0,4/1/2024,45000,2.1,39.63924976027664,,,84,Grand Traverse, MI
656,Township of Peninsula MI,N,2.5317867201334066,43.45572220651795,5/23/2017,3.0,4/1/2025,45000,2.3000000000000003,43.45572220651795,,,73,Grand Traverse, MI
657,Township of Peninsula MI,N,3.4309478228883075,43.7197732271466,5/23/2017,3.0,4/1/2026,40000,2.45,43.7197732271466,,,63,Grand Traverse, MI
658,Township of Peninsula MI,N,4.303263157270944,46.751478413349055,5/23/2017,3.0,4/1/2027,35000,2.6,46.751478413349055,,,54,Grand Traverse, MI
659,Champions Municipal Utility District,Y,0.5689487482267837,36.09809202123875,3/1/2017,3.0,3/1/2023,125000,2.1,36.09809202123875,,A+,98,Harris, TX
660,Champions Municipal Utility District,Y,1.5217195674238355,35.587205618494465,3/1/2017,3.0,3/1/2024,130000,2.25,35.587205618494465,,A+,86,Harris, TX
661,City of Chandler AZ Excise Tax Revenue,N,1.8298383041645743,1.0083726027397377,12/19/2017,5.0,7/1/2024,1245000,1.84,1.0083726027397377,,AA+,86,Maricopa, AZ
662,City of Chandler AZ Excise Tax Revenue,N,2.722767084642778,-1.696435616438352,12/19/2017,5.0,7/1/2025,1305000,1.9000000000000001,-1.696435616438352,400000.0,AA+,80,Maricopa, AZ
663,City of Chandler AZ Excise Tax Revenue,N,3.5779596083614513,-3.2152109589041133,12/19/2017,5.0,7/1/2026,1300000,1.97,-3.2152109589041133,,AA+,77,Maricopa, AZ
664,City of Chandler AZ Excise Tax Revenue,N,4.392337110823768,-2.0689479452054904,12/19/2017,5.0,7/1/2027,4045000,2.05,-2.0689479452054904,20000.0,AA+,74,Maricopa, AZ
665,City of Chandler TX,Y,0.20229234317729505,47.03189836397848,3/15/2017,3.0,10/15/2022,65000,2.3000000000000003,47.03189836397848,,,92,Henderson, TX
666,City of Chandler TX,Y,1.1703571449775452,60.43674301056841,3/15/2017,3.0,10/15/2023,65000,2.6,60.43674301056841,,,74,Henderson, TX
667,Town of Bedford MA,N,0.52630882961454,-1.381261821723112,2/23/2017,3.0,2/15/2023,380000,1.75,-1.381261821723112,,,96,Middlesex, MA
668,Town of Bedford MA,N,1.481937631596245,-1.6270178253099399,2/23/2017,3.0,2/15/2024,380000,1.9000000000000001,-1.6270178253099399,,,86,Middlesex, MA
669,Town of Bedford MA,N,2.410182607103458,-6.540233016805974,2/23/2017,3.0,2/15/2025,380000,2.0,-6.540233016805974,,,76,Middlesex, MA
670,Town of Bedford MA,N,3.3126049294359903,-12.69045862485334,2/23/2017,3.0,2/15/2026,380000,2.07,-12.69045862485334,,,65,Middlesex, MA
671,Town of Bedford MA,N,4.234564498266894,-4.020864852359818,2/23/2017,2.5,2/15/2027,380000,2.2600000000000002,-4.020864852359818,,,47,Middlesex, MA
672,City of Bellaire TX,N,0.5214812727956532,20.582761855656063,2/1/2017,5.0,2/15/2023,980000,2.05,20.582761855656063,,,85,Harris, TX
673,City of Bellaire TX,N,1.455516670744122,26.983765937470984,2/1/2017,5.0,2/15/2024,1030000,2.25,26.983765937470984,15000.0,,71,Harris, TX
674,City of Bellaire TX,N,2.348401515582765,25.605344531797503,2/1/2017,5.0,2/15/2025,1085000,2.37,25.605344531797503,100000.0,,59,Harris, TX
675,City of Bellaire TX,N,3.20393765663494,26.763767312808984,2/1/2017,5.0,2/15/2026,1140000,2.5,26.763767312808984,,,49,Harris, TX
676,City of Bellaire TX,N,0.5237706409376701,10.404775204743189,9/1/2017,4.0,2/15/2023,370000,1.35,10.404775204743189,700000.0,,82,Harris, TX
677,City of Bellaire TX,N,1.4682505717813958,10.631827512445957,9/1/2017,4.0,2/15/2024,385000,1.5,10.631827512445957,,,65,Harris, TX
678,City of Bellaire TX,N,2.378035029798343,10.549500456261196,9/1/2017,4.0,2/15/2025,405000,1.6500000000000001,10.549500456261196,,,52,Harris, TX
679,City of Bellaire TX,N,3.255562928641708,11.192643081841425,9/1/2017,4.0,2/15/2026,420000,1.8,11.192643081841425,,,41,Harris, TX
680,City of Cedar Rapids IA Water Revenue,N,0.8126392097907935,17.02235464653019,6/15/2017,5.0,6/1/2023,675000,1.72,17.02235464653019,100000.0,,94,Linn, IA
681,City of Cedar Rapids IA Water Revenue,N,1.7452714054222707,16.732794710786123,6/15/2017,5.0,6/1/2024,715000,1.8800000000000001,16.732794710786123,,,88,Linn, IA
682,City of Cedar Rapids IA Water Revenue,N,2.6367812709606473,24.62854965216541,6/15/2017,5.0,6/1/2025,755000,2.12,24.62854965216541,100000.0,,80,Linn, IA
683,Belmont Fresh Water Supply District No 1,Y,2.415713707438247,63.33123550861976,9/1/2017,4.0,3/1/2025,185000,2.15,63.33123550861976,,A+,63,Dallas, TX
684,Antelope Valley-East Kern Water Agency Financing Authority,N,1.7553658034425585,96.31381537142856,1/26/2017,3.176,6/1/2024,695000,3.176,96.31381537142856,,AA-,71,#N/A Field Not Applicable,
685,Antelope Valley-East Kern Water Agency Financing Authority,N,2.6665204179249478,103.79565579999999,1/26/2017,3.316,6/1/2025,715000,3.3160000000000003,103.79565579999999,,AA-,60,#N/A Field Not Applicable,
686,State of Arkansas,N,3.6747657229528294,44.99331056756755,6/8/2017,2.65,7/1/2026,2160000,2.65,44.99331056756755,,AA,59,Pulaski, AR
687,County of Berrien MI,N,0.5718328366943219,39.54484013675417,5/1/2017,2.0,3/1/2023,175000,1.9000000000000001,39.54484013675417,,,90,Berrien, MI
688,County of Berrien MI,N,1.53702450643265,33.17850256040673,5/1/2017,2.0,3/1/2024,180000,2.0,33.17850256040673,,,78,Berrien, MI
689,County of Berrien MI,N,2.4657677846777433,26.862234830867713,5/1/2017,2.5,3/1/2025,185000,2.1,26.862234830867713,,,71,Berrien, MI
690,County of Berrien MI,N,3.3780915063915207,21.841722259996878,5/1/2017,2.5,3/1/2026,190000,2.2,21.841722259996878,,,59,Berrien, MI
691,County of Berrien MI,N,4.266714584672669,29.46438160711451,5/1/2017,2.5,3/1/2027,195000,2.4000000000000004,29.46438160711451,,,50,Berrien, MI
692,City of Bloomington IN Waterworks Revenue,Y,0.9020608597355427,35.21307892910486,7/25/2017,2.0,7/1/2023,95000,1.85,35.21307892910486,,,83,Monroe, IN
693,City of Bloomington IN Waterworks Revenue,Y,1.8672614297604746,35.47281477224391,7/25/2017,2.0,7/1/2024,95000,2.0,35.47281477224391,,,68,Monroe, IN
694,City of Bloomington IN Waterworks Revenue,Y,3.2323649082949157,38.75646678400943,7/25/2017,3.0,1/1/2026,100000,2.25,38.75646678400943,,,57,Monroe, IN
695,City of Brigantine NJ,N,0.20238313431166563,12.989876712328762,10/31/2017,4.0,10/15/2022,680000,1.51,12.989876712328762,100000.0,,98,Atlantic, NJ
696,City of Brigantine NJ,N,2.134565281267819,17.89453424657537,10/31/2017,2.0,10/15/2024,740000,1.83,17.89453424657537,100000.0,,72,Atlantic, NJ
697,City of Brenham TX,N,0.036095712750481936,15.741972602739729,12/21/2017,4.0,8/15/2022,155000,1.75,15.741972602739729,,,99,Washington, TX
698,Belmont Fresh Water Supply District No 1,Y,1.5088107242056206,63.701946770319836,9/1/2017,4.0,3/1/2024,175000,2.0,63.701946770319836,,A+,73,Dallas, TX
699,Antelope Valley-East Kern Water Agency Financing Authority,N,0.8102801105248265,87.81808734246574,1/26/2017,2.976,6/1/2023,675000,2.976,87.81808734246574,,AA-,84,#N/A Field Not Applicable,
700,Antelope Valley-East Kern Water Agency Financing Authority,N,3.540456358457116,112.27749622857144,1/26/2017,3.466,6/1/2026,740000,3.466,112.27749622857144,10000.0,AA-,52,#N/A Field Not Applicable,
701,Town of Braintree MA,N,1.715992747303637,-0.5715677908953554,5/25/2017,4.0,5/15/2024,435000,1.6500000000000001,-0.5715677908953554,60000.0,,87,Norfolk, MA
702,Town of Braintree MA,N,3.5035755101583774,3.582043409357172,5/25/2017,4.0,5/15/2026,425000,2.0,3.582043409357172,20000.0,,69,Norfolk, MA
703,Brazoria County Municipal Utility District No 34,Y,1.0559939414974253,37.118186301369846,12/1/2017,2.0,9/1/2023,240000,1.9000000000000001,37.118186301369846,,AA-,87,Harris, TX
704,Brazoria County Municipal Utility District No 34,Y,2.01054198049287,36.84772602739726,12/1/2017,2.0,9/1/2024,245000,2.0,36.84772602739726,,AA-,75,Harris, TX
705,Brazoria County Municipal Utility District No 29,Y,1.5374257568187584,63.701946770319836,9/1/2017,2.0,3/1/2024,225000,2.0,63.701946770319836,160000.0,A+,76,Brazoria, TX
706,Brazoria County Municipal Utility District No 39,N,1.0477482866223664,103.66061459052365,8/1/2017,3.0,9/1/2023,60000,2.4000000000000004,103.66061459052365,,,80,Brazoria, TX
707,Brazoria County Municipal Utility District No 39,N,2.894837211043591,114.90173672920821,8/1/2017,3.0,9/1/2025,65000,2.8000000000000003,114.90173672920821,,,50,Brazoria, TX
708,Brazoria County Municipal Utility District No 55,N,1.9933929434925106,114.30467669777182,9/1/2017,2.65,9/1/2024,160000,2.6,114.30467669777182,,,48,Harris, TX
709,City of Bloomington IN Waterworks Revenue,Y,0.41200250787965415,37.36525580890504,7/25/2017,2.0,1/1/2023,95000,1.8,37.36525580890504,,,95,Monroe, IN
710,City of Bloomington IN Waterworks Revenue,Y,1.387265923512783,37.806553985324754,7/25/2017,2.0,1/1/2024,95000,1.95,37.806553985324754,,,76,Monroe, IN
711,City of Bloomington IN Waterworks Revenue,Y,2.779577189626178,35.6033817392138,7/25/2017,3.0,7/1/2025,100000,2.15,35.6033817392138,,,61,Monroe, IN
712,City of Brigantine NJ,N,1.164848852627839,17.65346575342466,10/31/2017,4.0,10/15/2023,690000,1.69,17.65346575342466,,,89,Atlantic, NJ
713,City of Brigantine NJ,N,3.0713970134016204,21.136561643835616,10/31/2017,2.0,10/15/2025,780000,2.0,21.136561643835616,,,63,Atlantic, NJ
714,Brazoria County Municipal Utility District No 39,N,0.0804594709039865,97.76283201283917,8/1/2017,3.0,9/1/2022,60000,2.2,97.76283201283917,,,97,Brazoria, TX
715,Brazoria County Municipal Utility District No 55,N,1.051699713750799,109.47187973787578,9/1/2017,2.45,9/1/2023,155000,2.4000000000000004,109.47187973787578,,,64,Harris, TX
716,Brazoria-Fort Bend County Municipal Utility District No 1,N,0.08049154092289902,40.99486142682591,6/1/2017,2.0,9/1/2022,2500000,1.85,40.99486142682591,75000.0,,98,Brazoria, TX
717,City of Biloxi MS,N,2.4521615148753866,34.20417951053088,3/1/2017,3.0,3/1/2025,460000,2.4000000000000004,34.20417951053088,,,70,Harrison, MS
718,City of Brenham TX,N,0.9985641687713327,15.119273972602754,12/21/2017,4.0,8/15/2023,160000,1.8,15.119273972602754,,,91,Washington, TX
719,City of Brenham TX,N,1.923194769464545,19.218873972602736,12/21/2017,4.0,8/15/2024,170000,1.9000000000000001,19.218873972602736,,,85,Washington, TX
720,City of Brenham TX,N,2.8142434417334057,16.896504109589028,12/21/2017,4.0,8/15/2025,175000,1.95,16.896504109589028,10000.0,,79,Washington, TX
721,City of Brenham TX,N,3.6734472594847496,15.174895890410966,12/21/2017,4.0,8/15/2026,180000,2.0,15.174895890410966,,,73,Washington, TX
722,Town of Braintree MA,N,0.7718132722925697,0.790619555161931,5/25/2017,4.0,5/15/2023,440000,1.5,0.790619555161931,,,95,Norfolk, MA
723,Town of Braintree MA,N,2.6258592723156964,3.1979562293604546,5/25/2017,4.0,5/15/2025,425000,1.85,3.1979562293604546,,,78,Norfolk, MA
724,Town of Braintree MA,N,4.350776912200367,1.8448478071608765,5/25/2017,4.0,5/15/2027,420000,2.1,1.8448478071608765,,,59,Norfolk, MA
725,Brazoria County Municipal Utility District No 22,Y,0.08045669440801108,52.4075911745431,5/1/2017,4.75,9/1/2022,150000,1.95,52.4075911745431,,,95,Brazoria, TX
726,Brazoria County Municipal Utility District No 22,Y,1.0357336100936443,55.99257703451372,5/1/2017,4.75,9/1/2023,155000,2.15,55.99257703451372,,,87,Brazoria, TX
727,Brazoria County Municipal Utility District No 22,Y,2.0019138891419503,59.7398286969391,5/1/2017,2.25,9/1/2024,160000,2.35,59.7398286969391,,,68,Brazoria, TX
728,Brazoria County Municipal Utility District No 22,Y,2.9178221053855595,74.34434097304359,5/1/2017,2.5,9/1/2025,170000,2.65,74.34434097304359,,,56,Brazoria, TX
729,Brazoria County Municipal Utility District No 31,Y,0.08044804233238162,79.33175006827804,1/1/2017,3.0,9/1/2022,125000,2.75,79.33175006827804,,,99,Brazoria, TX
730,Brazoria County Municipal Utility District No 28,Y,0.08049026455499396,52.75575696803567,7/1/2017,3.0,9/1/2022,900000,1.82,52.75575696803567,,AA-,93,Brazoria, TX
731,Brazoria County Municipal Utility District No 28,Y,1.9903342018637848,57.47422820768482,7/1/2017,3.0,9/1/2024,950000,2.15,57.47422820768482,200000.0,AA-,81,Brazoria, TX
732,Brazoria County Municipal Utility District No 34,Y,0.0804742733213792,33.06300273972602,12/1/2017,2.0,9/1/2022,250000,1.75,33.06300273972602,,AA-,98,Harris, TX
733,Brazoria County Municipal Utility District No 29,Y,0.5720198853693769,57.91291126395996,9/1/2017,2.0,3/1/2023,215000,1.79,57.91291126395996,,A+,90,Brazoria, TX
734,Brazoria County Municipal Utility District No 39,N,1.985277408980713,109.25056011953096,8/1/2017,3.0,9/1/2024,65000,2.6,109.25056011953096,,,65,Brazoria, TX
735,Brazoria County Municipal Utility District No 55,N,0.08046076219624954,104.28069814340736,9/1/2017,2.3,9/1/2022,150000,2.2,104.28069814340736,,,83,Harris, TX
736,Brazoria County Municipal Utility District No 55,N,2.9046694100601536,114.1266278345584,9/1/2017,2.8,9/1/2025,170000,2.75,114.1266278345584,,,38,Harris, TX
737,Brazoria-Fort Bend County Municipal Utility District No 1,N,1.0574241272508882,34.77970733562312,6/1/2017,2.0,9/1/2023,3200000,1.95,34.77970733562312,,,77,Brazoria, TX
738,City of Biloxi MS,N,0.5700594867656091,21.935884791678607,3/1/2017,3.0,3/1/2023,430000,1.97,21.935884791678607,,,88,Harrison, MS
739,City of Biloxi MS,N,1.5248864397764028,29.320116160446563,3/1/2017,3.0,3/1/2024,445000,2.2,29.320116160446563,50000.0,,78,Harrison, MS
740,City of Buda TX,N,0.03609906037366882,6.581928767123291,12/6/2017,5.0,8/15/2022,785000,1.48,6.581928767123291,,,92,Hays, TX
741,City of Buda TX,N,0.9933105773039403,9.58915616438356,12/6/2017,5.0,8/15/2023,830000,1.62,9.58915616438356,3320000.0,,90,Hays, TX
742,City of Buda TX,N,1.9056311177942953,10.516438356164382,12/6/2017,5.0,8/15/2024,865000,1.74,10.516438356164382,50000.0,,83,Hays, TX
743,City of Buda TX,N,3.615003617642293,15.422109589041089,12/6/2017,5.0,8/15/2026,955000,2.0,15.422109589041089,,,68,Hays, TX
744,City of Buffalo MN,N,0.6548152896566118,8.460918624256042,10/12/2017,2.0,4/1/2023,200000,1.35,8.460918624256042,,,86,Wright, MN
745,City of Buffalo MN,N,1.6206229670085697,8.788723093671024,10/12/2017,2.0,4/1/2024,205000,1.5,8.788723093671024,,,73,Wright, MN
746,City of Buffalo MN,N,2.567289050886923,8.928465695902265,10/12/2017,2.0,4/1/2025,205000,1.6500000000000001,8.928465695902265,,,62,Wright, MN
747,City of Buffalo MN,N,3.4949684733889446,14.930269127405316,10/12/2017,2.0,4/1/2026,210000,1.85,14.930269127405316,,,54,Wright, MN
748,City of Burleson TX,N,0.5698688525631781,19.69524735669992,8/16/2017,3.0,3/1/2023,430000,1.59,19.69524735669992,,AA-,93,Johnson, TX
749,City of Burleson TX,N,1.511037870387182,20.145762150676582,8/16/2017,4.0,3/1/2024,440000,1.74,20.145762150676582,150000.0,AA-,84,Johnson, TX
750,City of Burleson TX,N,2.4137689533816378,21.384376853807495,8/16/2017,4.0,3/1/2025,455000,1.9000000000000001,21.384376853807495,20000.0,AA-,74,Johnson, TX
751,City of Burleson TX,N,3.2952350851700634,25.38552205789739,8/16/2017,4.0,3/1/2026,480000,2.08,25.38552205789739,,AA-,65,Johnson, TX
752,City of Burleson TX,N,4.139675306546193,33.66188906997929,8/16/2017,4.0,3/1/2027,500000,2.2800000000000002,33.66188906997929,,AA-,57,Johnson, TX
753,City of Burlington VT Waterworks System Revenue,N,0.24672198786459434,38.927832973346455,6/6/2017,4.0,11/1/2022,130000,1.7000000000000002,38.927832973346455,,,94,Chittenden, VT
754,City of Burlington VT Waterworks System Revenue,N,1.2098176884254994,41.95826629650379,6/6/2017,4.0,11/1/2023,135000,1.8900000000000001,41.95826629650379,85000.0,,78,Chittenden, VT
755,City of Burlington VT Waterworks System Revenue,N,2.989663830411281,44.711359359165655,6/6/2017,5.0,11/1/2025,150000,2.23,44.711359359165655,,,69,Chittenden, VT
756,City of Burlington VT Waterworks System Revenue,N,3.8269669627385343,46.6483146235952,6/6/2017,5.0,11/1/2026,155000,2.38,46.6483146235952,,,63,Chittenden, VT
757,City of Andover KS,N,0.16359489858916088,34.52597260273973,12/14/2017,2.0,10/1/2022,145000,2.0,34.52597260273973,,,94,Butler, KS
758,City of Andover KS,N,1.1390044584816366,29.04431506849314,12/14/2017,2.05,10/1/2023,150000,2.05,29.04431506849314,,,76,Butler, KS
759,City of Charlottesville VA,N,0.3681522103740025,0.08979426087241116,6/29/2017,5.0,12/15/2022,700000,1.28,0.08979426087241116,,AAA,95,Charlottesville, VA
760,City of Charlottesville VA,N,1.324147537250811,-4.191969187559597,6/29/2017,5.0,12/15/2023,695000,1.3800000000000001,-4.191969187559597,75000.0,AAA,89,Charlottesville, VA
761,City of Charlottesville VA,N,2.237401275551652,-6.748785551913961,6/29/2017,5.0,12/15/2024,695000,1.5,-6.748785551913961,,AAA,86,Charlottesville, VA
762,City of Charlottesville VA,N,3.951195778005128,-4.80602624555988,6/29/2017,5.0,12/15/2026,690000,1.78,-4.80602624555988,,AAA,69,Charlottesville, VA
